,energyConsumption,ms,tx_power_median,ECL_median,Location Coverage,energyConsumptionTx,msTx,duration,interval,psize,tau,Throughput
3129,2.3264800000000037,23640.751,-170.0,0.0,1.0,0.01444000000000756,102.249,3600,60.0,20,10010100.0,1564.8074797797535
3130,2.3150699999999915,23671.749,-195.0,0.0,1.0,0.01478000000000179,104.749,3600,60.0,20,10010100.0,1527.4608826814574
3131,2.312039999999996,23142.75,-230.0,0.0,1.0,0.015119999999996026,100.501,3600,60.0,20,10010100.0,1592.0239599605973
3132,2.31635,23290.499,-215.0,0.0,1.0,0.01366000000000156,95.75,3600,60.0,20,10010100.0,1671.0182767624021
3133,2.311639999999997,23405.501,-230.0,0.0,1.0,0.01528000000000418,102.499,3600,60.0,20,10010100.0,1560.9908389350144
3134,2.3336199999999963,23526.5,-210.0,0.0,1.0,0.014940000000009944,105.249,3600,60.0,20,10010100.0,1520.204467500879
3135,2.3160999999999916,23369.25,-220.0,0.0,1.0,0.015600000000006276,109.0,3600,60.0,20,10010100.0,1467.8899082568807
3136,2.322100000000006,23180.0,-210.0,0.0,1.0,0.01429999999999154,96.25,3600,60.0,20,10010100.0,1662.3376623376623
3137,2.3055999999999983,23047.499,-220.0,0.0,1.0,0.014700000000004819,104.25,3600,60.0,20,10010100.0,1534.7721822541969
3138,2.328000000000003,23575.25,-215.0,0.0,1.0,0.01450000000001239,98.5,3600,60.0,20,10010100.0,1624.3654822335025
3139,2.316500000000005,23320.25,-210.0,0.0,1.0,0.01439999999999486,96.25,3600,60.0,20,10010100.0,1662.3376623376623
3141,2.327399999999997,23299.5,-215.0,0.0,1.0,0.015299999999996315,100.501,3600,60.0,20,10010100.0,1592.0239599605973
3142,2.312600000000004,23301.999,-210.0,0.0,1.0,0.014499999999998181,97.499,3600,60.0,20,10010100.0,1641.0424722304847
3143,2.3194000000000017,23365.5,-230.0,0.0,1.0,0.015299999999996315,97.749,3600,60.0,20,10010100.0,1636.8453897226568
3144,2.317999999999998,23592.999,-200.0,0.0,1.0,0.013800000000003363,101.751,3600,60.0,20,10010100.0,1572.466118269108
3145,2.3267000000000166,23290.5,-230.0,0.0,1.0,0.015000000000000568,108.0,3600,60.0,20,10010100.0,1481.4814814814815
3146,2.312000000000012,22980.249,-220.0,0.0,1.0,0.01429999999999154,96.249,3600,60.0,20,10010100.0,1662.354933557751
3147,2.329800000000006,23557.75,-215.0,0.0,1.0,0.0146000000000015,105.251,3600,60.0,20,10010100.0,1520.1755802795221
3148,2.3100000000000023,23219.749,-210.0,0.0,1.0,0.016099999999994452,105.5,3600,60.0,20,10010100.0,1516.5876777251185
3149,2.3104999999999905,23037.75,-210.0,0.0,1.0,0.014199999999988222,97.501,3600,60.0,20,10010100.0,1641.0088101660494
3150,2.322900000000004,23659.0,-210.0,0.0,1.0,0.013900000000006685,102.251,3600,60.0,20,10010100.0,1564.7768725978228
3151,2.312100000000015,23132.0,-200.0,0.0,1.0,0.015000000000014781,105.751,3600,60.0,20,10010100.0,1512.9880568505262
3152,2.3313,23388.5,-205.0,0.0,1.0,0.015200000000021419,107.75,3600,60.0,20,10010100.0,1484.9187935034802
3153,2.316599999999994,23385.751,-210.0,0.0,1.0,0.016099999999994452,98.749,3600,60.0,20,10010100.0,1620.2695723501001
3154,2.3218999999999994,23364.5,-230.0,0.0,1.0,0.01480000000000814,102.501,3600,60.0,20,10010100.0,1560.960380874333
3721,4.195800000000077,24060.251,-230.0,0.0,1.0,0.08339999999998328,426.5,3600,60.0,512,10010100.0,9603.75146541618
3722,4.189500000000066,23806.5,-230.0,0.0,1.0,0.10659999999995763,533.75,3600,60.0,512,10010100.0,7674.00468384075
3723,4.184000000000083,23742.25,-240.0,0.0,1.0,0.07880000000000109,356.0,3600,60.0,512,10010100.0,11505.61797752809
3724,4.183199999999943,24079.0,-240.0,0.0,1.0,0.0806999999999789,392.0,3600,60.0,512,10010100.0,10448.979591836733
3725,4.196499999999902,23951.75,-230.0,1.0,1.0,0.10599999999999454,533.5,3600,60.0,512,10010100.0,7677.600749765698
3726,4.190699999999879,24203.5,-230.0,0.0,1.0,0.08129999999994197,393.999,3600,60.0,512,10010100.0,10395.96547199358
3729,4.189500000000066,23939.499,-230.0,0.0,1.0,0.10750000000007276,534.75,3600,60.0,512,10010100.0,7659.654043945769
3730,4.184700000000022,23858.249,-230.0,0.0,1.0,0.10749999999995907,534.499,3600,60.0,512,10010100.0,7663.251007017787
3731,4.254800000000047,25180.251,-230.0,0.0,1.0,0.09720000000004347,413.25,3600,60.0,512,10010100.0,9911.67574107683
3732,4.193700000000035,23508.501,-230.0,1.0,1.0,0.07820000000003803,353.25,3600,60.0,512,10010100.0,11595.187544232129
3733,4.1732999999999265,23866.499,-230.0,0.0,1.0,0.10460000000000493,530.251,3600,60.0,512,10010100.0,7724.643612176121
3735,4.193399999999997,24087.999,-240.0,0.0,1.0,0.080600000000004,394.0,3600,60.0,512,10010100.0,10395.939086294416
3736,4.197299999999927,23992.999,-240.0,0.0,1.0,0.07730000000003656,360.75,3600,60.0,512,10010100.0,11354.123354123354
3737,4.178099999999971,23496.5,-230.0,1.0,1.0,0.10669999999993253,533.0,3600,60.0,512,10010100.0,7684.803001876173
3738,4.185500000000047,23815.5,-240.0,0.0,1.0,0.10540000000003147,532.5,3600,60.0,512,10010100.0,7692.018779342723
3739,4.205199999999991,23738.751,-230.0,0.0,1.0,0.09759999999994308,473.5,3600,60.0,512,10010100.0,8650.475184794086
3740,4.2012999999999465,24075.751,-220.0,1.0,1.0,0.10570000000006984,533.75,3600,60.0,512,10010100.0,7674.00468384075
3741,4.19500000000005,23996.001,-240.0,0.0,1.0,0.1048000000000684,534.501,3600,60.0,512,10010100.0,7663.222332605552
3742,4.202599999999961,23871.5,-220.0,0.0,1.0,4.03959999999995,21276.751,3600,60.0,512,10010100.0,192.51059525018647
3743,4.18220000000008,23583.0,-230.0,0.0,1.0,0.07859999999993761,356.0,3600,60.0,512,10010100.0,11505.61797752809
3744,4.193599999999947,23922.501,-240.0,0.0,1.0,0.07789999999999964,350.75,3600,60.0,512,10010100.0,11677.833214540271
3745,4.204599999999914,23808.25,-220.0,1.0,1.0,0.07820000000003803,356.0,3600,60.0,512,10010100.0,11505.61797752809
3746,4.197699999999943,24162.001,-230.0,0.0,1.0,0.0807999999999538,394.0,3600,60.0,512,10010100.0,10395.939086294416
3748,4.17489999999998,23523.75,-240.0,0.0,1.0,0.1050000000000182,534.501,3600,60.0,512,10010100.0,7663.222332605552
3753,4.17999999999995,23782.249,-240.0,0.0,1.0,0.08029999999996562,394.0,3600,60.0,512,10010100.0,10395.939086294416
3754,4.193499999999972,23719.251,-220.0,0.0,1.0,0.10630000000003292,534.501,3600,60.0,512,10010100.0,7663.222332605552
3756,4.192800000000034,23961.0,-220.0,0.0,1.0,0.10570000000006984,531.001,3600,60.0,512,10010100.0,7713.733119146667
3757,4.181199999999991,23434.0,-220.0,1.0,1.0,0.08369999999990796,425.501,3600,60.0,512,10010100.0,9626.299350647823
3758,4.187900000000013,24083.999,-230.0,1.0,1.0,0.07760000000007494,348.751,3600,60.0,512,10010100.0,11744.769190625977
3759,4.1802000000000135,23691.501,-200.0,1.0,1.0,0.0766999999999598,350.001,3600,60.0,512,10010100.0,11702.823706217983
3760,4.251600000000053,24996.001,-230.0,0.0,1.0,0.0965000000001055,406.751,3600,60.0,512,10010100.0,10070.042851769264
3761,4.193700000000035,23905.501,-210.0,1.0,1.0,0.0826999999999316,423.25,3600,60.0,512,10010100.0,9677.495569994091
3762,4.206600000000093,24250.751,-220.0,0.0,1.0,0.10550000000000637,533.75,3600,60.0,512,10010100.0,7674.00468384075
3764,4.17489999999998,23809.5,-230.0,0.0,1.0,0.08139999999991687,394.5,3600,60.0,512,10010100.0,10382.762991128011
3765,4.190299999999978,23744.0,-230.0,0.0,1.0,0.1050000000000182,533.5,3600,60.0,512,10010100.0,7677.600749765698
3767,4.191900000000147,23969.5,-230.0,0.0,1.0,0.1066000000000713,533.499,3600,60.0,512,10010100.0,7677.615140796891
3769,4.187999999999988,23779.751,-230.0,0.0,1.0,0.10640000000000782,533.749,3600,60.0,512,10010100.0,7674.019061394026
3771,4.196399999999926,24004.5,-240.0,0.0,1.0,0.10590000000001963,533.5,3600,60.0,512,10010100.0,7677.600749765698
3772,4.199200000000019,23942.25,-250.0,0.0,1.0,0.08299999999996999,423.75,3600,60.0,512,10010100.0,9666.076696165192
3773,4.258199999999988,25334.501,-240.0,0.0,1.0,0.0964999999999918,407.5,3600,60.0,512,10010100.0,10051.533742331289
3774,4.180000000000064,23576.25,-230.0,0.0,1.0,0.1050000000000182,533.249,3600,60.0,512,10010100.0,7681.2145920573685
3775,4.183999999999969,23931.5,-230.0,0.0,1.0,0.08000000000004093,393.999,3600,60.0,512,10010100.0,10395.96547199358
3776,4.195999999999913,23817.999,-230.0,0.0,1.0,0.1050000000000182,533.499,3600,60.0,512,10010100.0,7677.615140796891
3777,4.1889999999999645,24156.501,-230.0,0.0,1.0,0.10700000000008457,534.25,3600,60.0,512,10010100.0,7666.822648572765
3778,4.197999999999865,24091.001,-220.0,0.0,1.0,0.07899999999995089,356.0,3600,60.0,512,10010100.0,11505.61797752809
3779,4.196000000000026,23548.001,-230.0,0.0,1.0,0.08500000000003638,426.749,3600,60.0,512,10010100.0,9598.14785740564
3780,4.1879999999998745,23853.501,-220.0,0.0,1.0,0.1069999999999709,533.75,3600,60.0,512,10010100.0,7674.00468384075
3781,4.226849199999998,25771.499,-220.0,0.0,1.0,0.023863100000000026,106.249,3600,60.0,20,10010100.0,1505.8965260849511
3782,4.1911239999999985,24676.75,-220.0,0.0,1.0,0.022355000000000125,103.499,3600,60.0,20,10010100.0,1545.9086561222814
3783,4.186422,24128.0,-220.0,1.0,1.0,0.04905199999999965,256.249,3600,60.0,20,10010100.0,624.3926805568021
3784,4.188889999999999,24079.5,-220.0,1.0,1.0,0.051209999999997535,257.0,3600,60.0,20,10010100.0,622.568093385214
3785,4.193449999999999,24384.251,-240.0,0.0,1.0,0.023270000000000124,103.25,3600,60.0,20,10010100.0,1549.636803874092
3786,4.179549999999999,24285.501,-230.0,0.0,1.0,0.023859999999999104,107.001,3600,60.0,20,10010100.0,1495.3131279146924
3787,4.211850000000002,24592.749,-220.0,0.0,1.0,0.051640000000002566,260.0,3600,60.0,20,10010100.0,615.3846153846154
3788,4.181580000000004,23919.249,-230.0,0.0,1.0,0.05065999999999704,254.249,3600,60.0,20,10010100.0,629.3043433799148
3789,4.180329999999998,24258.249,-220.0,0.0,1.0,0.02405999999999864,106.5,3600,60.0,20,10010100.0,1502.3474178403753
3790,4.192050000000002,24144.749,-210.0,0.0,1.0,0.021749999999997268,99.749,3600,60.0,20,10010100.0,1604.0261055248675
3791,4.191429999999997,24468.75,-210.0,0.0,1.0,0.023779999999995027,108.5,3600,60.0,20,10010100.0,1474.6543778801847
3792,4.183720000000001,24264.249,-210.0,1.0,1.0,0.04746000000000095,257.75,3600,60.0,20,10010100.0,620.7565470417071
3793,4.189689999999999,24726.25,-200.0,1.0,1.0,0.0317100000000039,153.501,3600,60.0,20,10010100.0,1042.3384863942254
3794,4.195209999999996,24208.001,-230.0,0.0,1.0,0.05370999999999526,271.5,3600,60.0,20,10010100.0,589.3186003683243
3795,4.1851099999999954,24068.25,-220.0,0.0,1.0,0.05060999999999183,259.251,3600,60.0,20,10010100.0,617.1625181773649
3796,4.198939999999993,24401.0,-220.0,0.0,1.0,0.02389999999999759,109.5,3600,60.0,20,10010100.0,1461.1872146118722
3797,4.178020000000018,24321.001,-230.0,0.0,1.0,0.023099999999999454,104.499,3600,60.0,20,10010100.0,1531.115130288328
3798,4.205030000000009,24534.499,-210.0,1.0,1.0,0.026849999999996044,133.0,3600,60.0,20,10010100.0,1203.0075187969926
3799,4.1809399999999926,24500.249,-230.0,0.0,1.0,0.022060000000010405,102.501,3600,60.0,20,10010100.0,1560.960380874333
3800,4.193019999999991,24286.0,-210.0,0.0,1.0,0.02222999999999331,103.501,3600,60.0,20,10010100.0,1545.8787837798666
3801,4.195219999999992,24204.75,-210.0,0.0,1.0,0.050550000000001205,259.251,3600,60.0,20,10010100.0,617.1625181773649
3802,4.181609999999992,24543.251,-220.0,0.0,1.0,0.05239999999999157,271.25,3600,60.0,20,10010100.0,589.8617511520738
3803,4.214979999999997,24429.0,-220.0,0.0,1.0,0.04952999999999008,256.251,3600,60.0,20,10010100.0,624.3878072670936
3804,4.192849999999994,24662.75,-220.0,0.0,1.0,0.022350000000002986,101.249,3600,60.0,20,10010100.0,1580.26252111132
3805,4.1839999999999975,24186.75,-220.0,1.0,1.0,0.02400000000000091,111.499,3600,60.0,20,10010100.0,1434.9904483448286
3806,4.292699999999996,24891.751,-220.0,0.0,1.0,0.02369999999999095,106.249,3600,60.0,20,10010100.0,1505.8965260849511
3807,4.034700000000001,24308.751,-220.0,1.0,1.0,0.03730000000000189,139.999,3600,60.0,20,10010100.0,1142.8653061807586
3808,4.184300000000008,24306.499,-230.0,0.0,1.0,0.02259999999999707,103.499,3600,60.0,20,10010100.0,1545.9086561222814
3809,4.215900000000005,24612.5,-220.0,0.0,1.0,0.05190000000000339,260.249,3600,60.0,20,10010100.0,614.795830147282
3810,4.197199999999995,24520.0,-220.0,1.0,1.0,0.05060000000001708,257.75,3600,60.0,20,10010100.0,620.7565470417071
3811,4.180000000000007,24211.25,-210.0,1.0,1.0,0.02359999999998763,106.251,3600,60.0,20,10010100.0,1505.8681800641875
3812,4.186700000000002,24083.75,-220.0,0.0,1.0,0.04939999999999145,254.0,3600,60.0,20,10010100.0,629.9212598425198
3813,4.193799999999982,24413.499,-240.0,1.0,1.0,0.050299999999992906,257.0,3600,60.0,20,10010100.0,622.568093385214
3814,4.192799999999977,24317.499,-230.0,0.0,1.0,0.05099999999998772,256.5,3600,60.0,20,10010100.0,623.7816764132554
